nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9F&last_name=%D0%91 HTTP/1.1" 200 356467 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.772Z  INFO 1 --- [core] [nio-8082-exec-1] o.o.h.core.controller.UserController     : start search by param Б Е
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%91&last_name=%D0%95 HTTP/1.1" 200 34812 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%9C&last_name=%D0%9F HTTP/1.1" 200 2061312 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:10.830Z  INFO 1 --- [core] [nio-8082-exec-2] o.o.h.core.controller.UserController     : start search by param Ж С
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%96&last_name=%D0%A1 HTTP/1.1" 200 12 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-2             | 2024-06-19T19:23:10.923Z  INFO 1 --- [core] [nio-8083-exec-1] o.o.h.core.controller.UserController     : start search by param З Л
core-2             | 2024-06-19T19:23:10.923Z  INFO 1 --- [core] [io-8083-exec-10] o.o.h.core.controller.UserController     : start search by param А Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:10 +0000] "GET /user/search?first_name=%D0%97&last_name=%D0%9B HTTP/1.1" 200 49700 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%90&last_name=%D0%A2 HTTP/1.1" 200 1288573 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.013Z  INFO 1 --- [core] [nio-8082-exec-3] o.o.h.core.controller.UserController     : start search by param Г Л
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%93&last_name=%D0%9B HTTP/1.1" 200 163846 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.074Z  INFO 1 --- [core] [nio-8082-exec-4] o.o.h.core.controller.UserController     : start search by param З Т
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%97&last_name=%D0%A2 HTTP/1.1" 200 42917 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.137Z  INFO 1 --- [core] [nio-8082-exec-5] o.o.h.core.controller.UserController     : start search by param В А
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%92&last_name=%D0%90 HTTP/1.1" 200 1267426 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
core-1             | 2024-06-19T19:23:11.204Z  INFO 1 --- [core] [nio-8082-exec-8] o.o.h.core.controller.UserController     : start search by param Г Р
core-2             | 2024-06-19T19:23:11.204Z  INFO 1 --- [core] [nio-8083-exec-2] o.o.h.core.controller.UserController     : start search by param И М
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%93&last_name=%D0%A0 HTTP/1.1" 200 93284 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
nginx              | 192.168.192.1 - - [19/Jun/2024:19:23:11 +0000] "GET /user/search?first_name=%D0%98&last_name=%D0%9C HTTP/1.1" 200 637004 "-" "Apache-HttpClient/4.5.14 (Java/21.0.2)" "-"
